iter	Passed	Remaining
429	2654	432
430	2660	425
431	2667	419
432	2672	413
433	2679	407
434	2684	401
435	2690	394
436	2696	388
437	2702	382
438	2708	376
439	2713	370
440	2720	363
441	2725	357
442	2731	351
443	2737	345
444	2743	339
445	2749	332
446	2755	326
447	2761	320
448	2767	314
449	2773	308
450	2779	301
451	2785	295
452	2791	289
453	2796	283
454	2803	277
455	2808	271
456	2814	264
457	2820	258
458	2826	252
459	2832	246
460	2838	240
461	2844	233
462	2850	227
463	2856	221
464	2862	215
465	2867	209
466	2873	203
467	2878	196
468	2884	190
469	2890	184
470	2896	178
471	2902	172
472	2908	166
473	2914	159
474	2920	153
475	2925	147
476	2931	141
477	2937	135
478	2942	129
479	2948	122
480	2954	116
481	2960	110
482	2966	104
483	2971	98
484	2978	92
485	2983	85
486	2989	79
487	2994	73
488	3000	67
489	3005	61
490	3011	55
491	3017	49
492	3022	42
493	3028	36
494	3034	30
495	3039	24
496	3046	18
497	3051	12
498	3056	6
499	3063	0
