iter	MultiClass
271	0.8519159986
272	0.8516680713
273	0.8514832138
274	0.8513675365
275	0.8511946533
276	0.8508345563
277	0.8506776183
278	0.8503818635
279	0.8502398586
280	0.8499758936
281	0.8498776194
282	0.8496570819
283	0.849398512
284	0.8489650772
285	0.8487919244
286	0.8486731936
287	0.8485390485
288	0.8483999679
289	0.8482886818
290	0.8480918155
291	0.8476864941
292	0.847430054
293	0.8472085082
294	0.8467870612
295	0.8465507271
296	0.8464313845
297	0.8463443201
298	0.8461524866
299	0.8460305212
300	0.845729328
301	0.8456251647
302	0.8453963922
303	0.8452603943
304	0.8451199904
305	0.8449746162
306	0.8448259898
307	0.8446987034
308	0.8444656157
309	0.8442408426
310	0.8439826651
311	0.8437518261
312	0.8436691603
313	0.8433226623
314	0.8430919222
315	0.8427908318
316	0.8426378478
317	0.8425122692
318	0.842359788
319	0.8421296672
320	0.8418943384
321	0.8417346969
322	0.8415559087
323	0.8414226096
324	0.8412510344
325	0.8408854086
326	0.8406793817
327	0.8406035187
328	0.8404099905
329	0.8402798095
330	0.8401572045
331	0.8398314008
332	0.8397047829
333	0.8395110839
334	0.8393591132
335	0.8391845068
336	0.8390367171
337	0.8388494359
338	0.8386034236
339	0.8385053186
340	0.838406306
341	0.8382795542
342	0.838052251
343	0.8377520177
344	0.8376468748
345	0.837560046
346	0.8374091584
347	0.8372843353
348	0.8371774217
349	0.8370711289
350	0.8368519711
351	0.8366771001
352	0.8365099702
353	0.8363877058
354	0.8361932798
355	0.8359191013
356	0.8358006528
357	0.835687465
358	0.8355653385
359	0.8354913126
360	0.8353535322
361	0.8350995805
362	0.8350247075
363	0.8346356235
364	0.8344687768
365	0.83425725
366	0.8340729882
367	0.8338703908
368	0.8337970443
369	0.8335056189
370	0.8331842065
371	0.8330457397
372	0.832880853
373	0.8326913388
374	0.8324575399
375	0.8323382361
376	0.832151993
377	0.8319151529
378	0.8317521906
379	0.8315945599
380	0.831490102
381	0.8313229716
382	0.8311546644
383	0.8310027002
384	0.8308393088
385	0.8307378522
386	0.830628938
387	0.8303623152
388	0.8300912095
389	0.8297908372
390	0.8296098366
391	0.8294487723
392	0.8293467334
393	0.829191979
394	0.8290779688
395	0.8289541086
396	0.8288355663
397	0.8287033235
398	0.8285160811
399	0.828357248
400	0.8282119963
401	0.8279835091
402	0.8278907087
403	0.8277626767
404	0.8275523588
405	0.8274799701
406	0.8273214282
407	0.8271253763
408	0.826964764
409	0.8266800508
410	0.826573866
411	0.826458036
412	0.8263830514
413	0.826229611
414	0.8260328584
415	0.8259156042
416	0.8257191755
417	0.8256169903
418	0.8255137967
419	0.8254103628
420	0.825251138
421	0.8250379689
422	0.8249148366
423	0.8247018643
424	0.8245414451
425	0.824394319
426	0.8242042495
427	0.8241126592
428	0.8239404104
429	0.8238259395
430	0.8236537105
431	0.8234897814
432	0.8233896481
433	0.8232398844
434	0.8231347673
435	0.823017436
436	0.8228584881
437	0.8227079024
438	0.8226177659
439	0.8225234437
440	0.8222996592
441	0.822160822
442	0.8220594521
443	0.8219704104
444	0.821891718
445	0.8217302405
446	0.8216336856
447	0.8215118865
448	0.8214157727
449	0.8212875885
450	0.821164208
451	0.8210620157
452	0.8209024479
453	0.8207783831
454	0.8205903355
455	0.8202953921
456	0.8202001918
457	0.8200762261
458	0.8198767749
459	0.8197007712
460	0.8195404623
461	0.8194097418
462	0.819260734
463	0.8191426461
464	0.8190412241
465	0.8188819777
466	0.8187782159
467	0.8186754785
468	0.81853639
469	0.8184087729
470	0.8182135483
471	0.8180672617
472	0.8178740432
473	0.8177386166
474	0.8175379698
475	0.8174569693
476	0.8173831567
477	0.8172809845
478	0.8171514863
479	0.8170233164
480	0.816935312
481	0.8168234965
482	0.8165793769
483	0.8163429138
484	0.8160135603
485	0.8158193622
486	0.8156871801
487	0.8155413772
488	0.8154208612
489	0.8153494336
490	0.8151783659
491	0.8150477497
492	0.8149450267
493	0.8148571311
494	0.8146667463
495	0.8145696007
496	0.8143418028
497	0.814198876
498	0.814032633
499	0.8139529534
